	x	Na	Nd	V	n	p	Ey	Ex
94	0.23500000000000001	3e+23	0.0	-1.6264849	6.770511226666743e-32	2.999999973333255e+23	0.05046440442643788	-3.6767393333673195e-17
95	0.23750000000000002	3e+23	0.0	-1.6264849	6.770511200000105e-32	2.9999999999998934e+23	0.028864482399688057	-2.042636836409984e-17
96	0.24	3e+23	0.0	-1.6264849	6.770511199999999e-32	3e+23	0.023189509152971546	-1.6741572885646094e-17
97	0.2425	3e+23	0.0	-1.6264849	6.770511199999999e-32	3e+23	0.017514599606304856	-1.3056828032312746e-17
98	0.245	3e+23	0.0	-1.6264849	6.770511199999999e-32	3e+23	0.011839690059638162	-9.372083178979397e-18
99	0.2475	3e+23	0.0	-1.6264849	6.770511199999999e-32	3e+23	0.007210751281993019	-6.25305700235765e-18
100	0.25	3e+23	0.0	-1.6264849	6.770511199999999e-32	3e+23	0.005719791754612702	-4.831223062445253e-18
101	0.2525	3e+23	0.0	-1.6264849	6.770511199999999e-32	3e+23	0.004228832227232386	-3.409389122532855e-18
102	0.255	3e+23	0.0	-1.6264849	6.770511199999999e-32	3e+23	0.0027378726998520684	-1.987555182620458e-18
103	0.2575	3e+23	0.0	-1.6264849	6.770511199999999e-32	3e+23	0.0017965454931852828	-1.131455786504386e-18
104	0.26	3e+23	0.0	-1.6264849	6.770511199999999e-32	3e+23	0.001404841813185279	-8.410818825043831e-19
105	0.2625	3e+23	0.0	-1.6264849	6.770511199999999e-32	3e+23	0.001013138133185275	-5.507079785043802e-19
106	0.265	3e+23	0.0	-1.6264849	6.770511199999999e-32	3e+23	0.0006214344531852711	-2.603340745043773e-19
107	0.2675	3e+23	0.0	-1.6264849	6.770511199999999e-32	3e+23	0.0004463523547953741	-1.7366106792270047e-19
108	0.27	3e+23	0.0	-1.6264849	6.770511199999999e-32	3e+23	0.0003434759098635827	-1.5488691194846697e-19
109	0.2725	3e+23	0.0	-1.6264849	6.770511199999999e-32	3e+23	0.0002405994649317914	-1.3611275597423349e-19
110	0.275	3e+23	0.0	-1.6264849	6.770511199999999e-32	3e+23	0.00013772302	-1.173386e-19
111	0.2775	3e+23	0.0	-1.6264849	6.770511199999999e-32	3e+23	0.00011082764415506744	-9.19934891681181e-20
112	0.28	3e+23	0.0	-1.6264849	6.770511199999999e-32	3e+23	8.393226831013487e-05	-6.66483783362362e-20
113	0.28250000000000003	3e+23	0.0	-1.6264849	6.770511199999999e-32	3e+23	5.703689246520231e-05	-4.1303267504354283e-20
114	0.28500000000000003	3e+23	0.0	-1.6264849	6.770511199999999e-32	3e+23	3.5227258941657484e-05	-2.1120965834174953e-20
115	0.28750000000000003	3e+23	0.0	-1.6264849	6.770511199999999e-32	3e+23	2.8675177874990825e-05	-1.6427422074174957e-20
116	0.29	3e+23	0.0	-1.6264849	6.770511199999999e-32	3e+23	2.2123096808324315e-05	-1.173387831417507e-20
117	0.2925	3e+23	0.0	-1.6264849	6.770511199999999e-32	3e+23	1.5571015741657652e-05	-7.040334554175078e-21
118	0.295	3e+23	0.0	-1.6264849	6.770511199999999e-32	3e+23	1.2411203384635485e-05	-3.598390084953804e-21
119	0.2975	3e+23	0.0	-1.6264849	6.770511199999999e-32	3e+23	1.2643714013991494e-05	-1.4080649322601507e-21
120	0.3	3e+23	0.0	-1.6264849	6.770511199999999e-32	3e+23	1.2876224643347503e-05	7.822602204335025e-22
121	0.3025	3e+23	0.0	-1.6264849	6.770511199999999e-32	3e+23	1.310873527270351e-05	2.972585373127156e-21
122	0.305	3e+23	0.0	-1.6264849	6.770511199999999e-32	3e+23	1.8788279580733785e-05	7.979048300621907e-21
123	0.3075	3e+23	0.0	-1.6264849	6.770511199999999e-32	3e+23	2.6283463047400532e-05	1.3924203793955302e-20
124	0.31	3e+23	0.0	-1.6264849	6.770511199999999e-32	3e+23	3.377864651406728e-05	1.9869359287288692e-20
125	0.3125	3e+23	0.0	-1.6264849	6.770511199999999e-32	3e+23	4.127392106184481e-05	2.5814633683580783e-20
126	0.315	3e+23	0.0	-1.6264849	6.770511199999999e-32	3e+23	7.153938211201948e-05	6.148552870129253e-20
127	0.3175	3e+23	0.0	-1.6264849	6.770511199999999e-32	3e+23	0.00010180484316219415	9.715642371900427e-20
128	0.32	3e+23	0.0	-1.6264849	6.770511199999999e-32	3e+23	0.0001320703042123688	1.32827318736716e-19
129	0.3225	3e+23	0.0	-1.6264849	6.770511199999999e-32	3e+23	0.00018368290915892307	1.7522561997852777e-19
130	0.325	3e+23	0.0	-1.6264849	6.770511199999999e-32	3e+23	0.0002993369457946179	2.3780613989264016e-19
131	0.3275	3e+23	0.0	-1.6264849	6.770511199999999e-32	3e+23	0.00041499098243031273	3.003866598067526e-19
132	0.33	3e+23	0.0	-1.6264849	6.770511199999999e-32	3e+23	0.0005306450190660076	3.62967179720865e-19
133	0.3325	3e+23	0.0	-1.6264849	6.770511199999999e-32	3e+23	0.0008086316320461922	4.918826169943384e-19
134	0.335	3e+23	0.0	-1.6264849	6.770511199999999e-32	3e+23	0.0012489534187128584	6.87134032994338e-19
135	0.3375	3e+23	0.0	-1.6264849	6.770511199999999e-32	3e+23	0.0016892752053795242	8.823854489943377e-19
136	0.34	3e+23	0.0	-1.6264849	6.770511199999999e-32	3e+23	0.00212959699204619	1.0776368649943374e-18
137	0.3425	3e+23	0.0	-1.6264849	6.770511180000063e-32	3e+23	0.0034966774375841964	1.922472992714444e-18
138	0.34500000000000003	3e+23	0.0	-1.6264849	6.77051115333334e-32	3e+23	0.0051726840263982485	2.9838419769682743e-18
139	0.34750000000000003	3e+23	0.0	-1.6264849	6.770511126666616e-32	3e+23	0.0068486906152123005	4.045210961222105e-18
140	0.35000000000000003	3e+23	0.0	-1.6264849	6.770511099999999e-32	3e+23	0.008524716016939188	5.106601012595508e-18
141	0.3525	3e+23	0.0	-1.6264849	6.770511099999999e-32	3e+23	0.014903950816939113	1.1434749892595432e-17
142	0.355	3e+23	0.0	-1.6264849	6.770511099999999e-32	3e+23	0.021283185616939176	1.7762898772595497e-17
143	0.3575	3e+23	0.0	-1.6264849	6.770511099999999e-32	3e+23	0.027662420416939244	2.4091047652595562e-17
144	0.36	3e+23	0.0	-1.6264849	6.770511093333233e-32	3.0000000066667664e+23	0.038517100914730006	3.396381229050449e-17
145	0.3625	3e+23	0.0	-1.6264849	6.770511066666594e-32	3.0000000333334047e+23	0.06279783208194993	5.447019735036028e-17
146	0.365	3e+23	0.0	-1.6264849	6.770511039999957e-32	3.000000060000043e+23	0.08707856324916985	7.497658241021608e-17
147	0.3675	3e+23	0.0	-1.6264849	6.770511013333318e-32	3.0000000866666812e+23	0.11135929441638978	9.548296747007186e-17
148	0.37	3e+23	0.0	-1.6264849	6.770510933333403e-32	3.0000001266666384e+23	0.16970854804385196	1.0445451056709274e-16
149	0.3725	3e+23	0.0	-1.6264849	6.770510800000213e-32	3.0000001799999145e+23	0.2621263241315579	1.0189121170127819e-16
150	0.375	3e+23	0.0	-1.6264849	6.770510666667022e-32	3.000000233333191e+23	0.3545441002192639	9.932791283546363e-17
151	0.3775	3e+23	0.0	-1.6264849	6.770510533333831e-32	3.0000002866664675e+23	0.4469618763069699	9.676461396964908e-17
152	0.38	3e+23	0.0	-1.6264849	6.77051014000192e-32	3.0000004599991465e+23	0.733887284949325	4.152530211683004e-16
153	0.3825	3e+23	0.0	-1.6264849	6.77050966000192e-32	3.00000067333248e+23	1.0856499542826579	8.407609467682998e-16
154	0.385	3e+23	0.0	-1.6264849	6.77050918000192e-32	3.000000886665813e+23	1.4374126236159905	1.2662688723682992e-15
155	0.3875	3e+23	0.0	-1.6264849	6.77050870000192e-32	3.0000010999991466e+23	1.7891752929493232	1.6917767979682986e-15
156	0.39	3e+23	0.0	-1.6264849	6.770506833336818e-32	3.0000019266651235e+23	3.1280604407403527	2.3889950118573052e-15
157	0.3925	3e+23	0.0	-1.6264849	6.770504966666169e-32	3.000002753333554e+23	4.466949537037088	3.0862143125918113e-15
158	0.395	3e+23	0.0	-1.6264849	6.77050309999552e-32	3.0000035800019842e+23	5.805838633333823	3.783433613326318e-15
159	0.3975	3e+23	0.0	-1.626484906666752	6.77049993331072e-32	3.0000049800099842e+23	8.084042267478791	4.839518704510373e-15
160	0.4	3e+23	0.0	-1.6264849333333333	6.770492866666666e-32	3.0000081e+23	13.180129399999998	6.972178199999999e-15
161	0.4025	3e+23	0.0	-1.6264849599999145	6.770485800022613e-32	3.000011219990016e+23	18.276216532521207	9.104837695489625e-15
162	0.405	3e+23	0.0	-1.6264849866664959	6.77047873337856e-32	3.0000143399800322e+23	23.372303665042413	1.1237497190979253e-14
163	0.40750000000000003	3e+23	0.0	-1.6264850533325936	6.770461760186369e-32	3.0000218332510577e+23	35.6187680469785	1.919390085634975e-14
164	0.41000000000000003	3e+23	0.0	-1.626485159999488	6.770434880129024e-32	3.00003369994304e+23	55.01583849406208	3.297423505439601e-14
165	0.41250000000000003	3e+23	0.0	-1.6264852666663823	6.77040800007168e-32	3.000045566635022e+23	74.41290894114564	4.675456925244226e-14
166	0.41500000000000004	3e+23	0.0	-1.6264853733332765	6.770381120014337e-32	3.0000574333270044e+23	93.80997938822922	6.053490345048851e-14
167	0.4175	3e+23	0.0	-1.62648570000064	6.77029767983633e-32	3.0000943400724053e+23	154.03294373055166	1.1811701509232525e-13
168	0.42	3e+23	0.0	-1.6264861000014934	6.77019538628477e-32	3.0001395935022795e+23	227.8645393712888	1.9029971921542717e-13
169	0.4225	3e+23	0.0	-1.6264865000023467	6.77009309273321e-32	3.0001848469321534e+23	301.696135012026	2.624824233385291e-13
170	0.425	3e+23	0.0	-1.6264869000119466	6.769990796885129e-32	3.000230101377489e+23	375.5293883860991	3.346646759909564e-13
171	0.4275	3e+23	0.0	-1.6264883933405012	6.769601438131076e-32	3.00040228749316e+23	656.5776516983249	3.5041354559457373e-13
172	0.43	3e+23	0.0	-1.6264898866690558	6.769212079377025e-32	3.0005744736088313e+23	937.6259150105507	3.661624151981911e-13
173	0.4325	3e+23	0.0	-1.6264913799976106	6.768822720622974e-32	3.0007466597245022e+23	1218.6741783227767	3.819112848018085e-13
174	0.435	3e+23	0.0	-1.626493913313735	6.768160358468818e-32	3.001039751059842e+23	1697.002230042513	7.454440027240534e-13
175	0.4375	3e+23	0.0	-1.6264995666591286	6.766678968641852e-32	3.001695565792247e+23	2767.1822730932686	2.152350524124629e-12
176	0.44	3e+23	0.0	-1.6265052200045225	6.765197578814887e-32	3.002351380524652e+23	3837.3623161440246	3.5592570455252043e-12
177	0.4425	3e+23	0.0	-1.6265108733499163	6.763716188987923e-32	3.0030071952570564e+23	4907.54235919478	4.96616356692578e-12
178	0.445	3e+23	0.0	-1.626524473385045	6.76016075315599e-32	3.004586119338178e+23	7482.519344732935	5.753605843171061e-12
179	0.4475	3e+23	0.0	-1.6265460199827626	6.754531304503559e-32	3.007088137998385e+23	11562.2691962001	5.921593785609646e-12
180	0.45	3e+23	0.0	-1.6265675665804802	6.748901855851127e-32	3.009590156658592e+23	15642.019047667269	6.089581728048231e-12
181	0.4525	3e+23	0.0	-1.6265891131781978	6.743272407198696e-32	3.012092175318799e+23	19721.768899134433	6.257569670486816e-12
182	0.455	3e+23	0.0	-1.6266561194741749	6.725891616307661e-32	3.0199244385018423e+23	32458.343617240906	2.2174343733802263e-11
183	0.4575	3e+23	0.0	-1.62673827964945	6.704593544205107e-32	3.029533525667895e+23	48080.64974482727	4.334093715586818e-11
184	0.46	3e+23	0.0	-1.626820439824725	6.683295472102553e-32	3.0391426128339475e+23	63702.95587241363	6.45075305779341e-11
185	0.4625	3e+23	0.0	-1.6269026000000002	6.6619974e-32	3.0487517e+23	79325.262	8.5674124e-11
186	0.465	3e+23	0.0	-1.6272170806708923	6.582779471001751e-32	3.086604047418341e+23	140180.77529176153	8.433021339965739e-11
187	0.4675	3e+23	0.0	-1.6275315613417842	6.503561542003503e-32	3.124456394836682e+23	201036.28858352304	8.298630279931477e-11
188	0.47000000000000003	3e+23	0.0	-1.6278460420126764	6.424343613005254e-32	3.162308742255023e+23	261891.80187528458	8.164239219897216e-11
189	0.47250000000000003	3e+23	0.0	-1.6283877021401532	6.295940473142168e-32	3.231876539245953e+23	371011.8548006225	2.0427755280683494e-10
190	0.47500000000000003	3e+23	0.0	-1.6296108715593443	6.019987996190093e-32	3.3965866255070114e+23	624919.3489633095	6.988340582260206e-10
191	0.47750000000000004	3e+23	0.0	-1.6308340409785356	5.744035519238016e-32	3.5612967117680696e+23	878826.8431259964	1.1933905636452065e-09
192	0.48	3e+23	0.0	-1.6320572103977267	5.468083042285948e-32	3.726006798029124e+23	1132734.3372886777	1.687947069064381e-09
193	0.4825	3e+23	0.0	-1.635206411779225	4.959794352510626e-32	4.357481651808526e+23	1988469.9177849828	1.505179316301697e-09
194	0.485	3e+23	0.0	-1.6402816759397885	4.219165732502905e-32	5.455728741402314e+23	3446043.213941344	6.450764680822897e-10
195	0.4875	3e+23	0.0	-1.645356940100352	3.4785371124951844e-32	6.553975830996102e+23	4903616.510097705	-2.1502638013711742e-10
196	0.49	3e+23	0.0	-1.6504322042609156	2.737908492487464e-32	7.652222920589891e+23	6361189.8062540665	-1.0751292283565248e-09
197	0.4925	3e+23	0.0	-1.6731155256840773	2.0503176167408014e-32	8.177237977643731e+24	7664674.643396963	-1.1611360767685675e-09
198	0.495	3e+23	0.0	-1.7016680743159218	1.3804056119258796e-32	1.802326539568939e+25	8916797.756603008	-9.89116429898103e-10
199	0.4975	3e+23	0.0	-1.7302206229477664	7.104936071109577e-33	2.7869292813735045e+25	10168920.869809054	-8.170967830276386e-10
